,School_ID,School_Code,School Name_x,Cohort,Subgroup,Students,Grads,Rate,Governance,Unnamed: 8,Unnamed: 9,Unnamed: 10,Test Name,Subject,School Name_y,Learning Network,Grade,Category,"Number
Tested",Below Basic Count #,Below Basic Percent %,Basic Count #,Basic Percent %,Proficient Count #,Proficient Basic Percent %,Advanced Count #,Advanced Percent %,Prof and Adv Count #,Prof and Adv. Percent %,Average Score,Average Score2
85,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,IEP,40,16,40%,District,,,,Keystone,Literature,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,Not IEP,58,24,41%,25,43%,9,16%,0,0%,9,16%,0.435344828,1.741379291
86,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,Not IEP,109,63,58%,District,,,,Keystone,Math,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,IEP,15,11,73%,4,27%,0,0%,0,0%,0,0%,0.316666667,1.26666671
87,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,Not IEP,109,63,58%,District,,,,Keystone,Math,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,Not IEP,60,30,50%,27,45%,2,3%,1,2%,3,5%,0.391666667,1.566666652
88,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,Not IEP,109,63,58%,District,,,,Keystone,Science,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,IEP,9,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
89,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,Not IEP,109,63,58%,District,,,,Keystone,Science,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,Not IEP,56,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
90,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,Not IEP,109,63,58%,District,,,,Keystone,Literature,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,IEP,12,12,100%,0,0%,0,0%,0,0%,0,0%,0.25,1
91,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,Not IEP,109,63,58%,District,,,,Keystone,Literature,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,Not IEP,58,24,41%,25,43%,9,16%,0,0%,9,16%,0.435344828,1.741379291
92,119,119,MOTIVATION HIGH SCHOOL,2013-2014,IEP,5,s,s,District,,,,Keystone,Math,Motivation High School,AUTONOMY NETWORK,11,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
93,119,119,MOTIVATION HIGH SCHOOL,2013-2014,IEP,5,s,s,District,,,,Keystone,Math,Motivation High School,AUTONOMY NETWORK,11,Not IEP,79,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
94,119,119,MOTIVATION HIGH SCHOOL,2013-2014,IEP,5,s,s,District,,,,Keystone,Science,Motivation High School,AUTONOMY NETWORK,11,IEP,6,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
95,119,119,MOTIVATION HIGH SCHOOL,2013-2014,IEP,5,s,s,District,,,,Keystone,Science,Motivation High School,AUTONOMY NETWORK,11,Not IEP,78,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
96,119,119,MOTIVATION HIGH SCHOOL,2013-2014,IEP,5,s,s,District,,,,Keystone,Literature,Motivation High School,AUTONOMY NETWORK,11,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
